is_working,state,city,street,country
working,NY,"New York","114 Delancey St",USA
working,NY,"New York","208 Varick St",USA
working,NY,"New York","724 Broadway",USA
working,NY,"New York","102 1st Ave",USA
broken,NY,Brooklyn,"82 Court St",USA
working,NY,"New York","404 E 14th St",USA
working,NY,"New York","541 6th Ave",USA
broken,NY,"New York","39 Union Square W",USA
working,NJ,"Jersey City","30 Mall Dr W",USA
broken,NJ,"Jersey City","325 Grove St",USA
broken,NY,Brooklyn,"395 Flatbush Ave Exten",USA
working,NY,"New York","686 6th Ave",USA
broken,NY,"New York","26 E 23rd St",USA
working,NY,"New York","336 E 23rd St",USA
broken,NJ,"Jersey City","197 12th St",USA
broken,NJ,Hoboken,"234 Washington St",USA
working,NY,"New York","401 Park Ave S",USA
working,NY,Manhattan,"809/811 6th Ave/28th",USA
broken,NY,Manhattan,"335 8th Ave",USA
working,NY,Brooklyn,"267 Broadway",USA
working,NJ,"Jersey City","428 Grand St",USA
working,NY,"New York","480 3rd Ave",USA
working,NY,"New York","429 7th Ave",USA
working,NY,Brooklyn,"357 Hamilton Ave",USA
working,NY,"New York","151 West 34th Street",USA
working,NY,"New York","972 6th Ave",USA
working,NY,Manhattan,"490 8th Ave",USA
broken,NY,Brooklyn,"904 Manhattan Ave",USA
broken,NY,Brooklyn,"840 Atlantic Ave",USA
working,NY,"New York","556 7th Ave",USA
working,NY,"New York","18 E 42nd St",USA
working,NY,Brooklyn,"289 9th St",USA
working,NJ,"Jersey City","260 Central Ave",USA
broken,NY,"New York","688 8th Ave Frnt 1",USA
working,NY,"New York","1528 Broadway",USA
broken,NY,Brooklyn,"741 Grand St",USA
working,NJ,"Jersey City","2873 John F Kennedy Blvd",USA
working,NY,Manhattan,"14 E 47th St",USA
working,NY,"New York","1188 6th Ave",USA
working,NY,Brooklyn,"700 Broadway",USA
working,NY,Brooklyn,"652 Meeker Ave",USA
broken,NY,"New York","824 3rd Avenue 50th St",USA
working,NY,Manhattan,"1651 Broadway",USA
working,NJ,"Jersey City","737 Secaucus Rd",USA
broken,NY,Brooklyn,"1275 Fulton Steet",USA
broken,NJ,"Jersey City","390 Martin Luther King Drive",USA
broken,NY,"New York","946 8th Ave",USA
working,NY,"New York","966 3rd Ave",USA
working,NY,Brooklyn,"968 4th Ave",USA
working,NY,Brooklyn,"1531 Fulton St",USA
broken,NY,Brooklyn,"57 Empire Blvd",USA
working,NJ,"Jersey City","891 Cummunipaw Ave",USA
working,NY,"New York","1286 1st Ave",USA
working,NJ,"Union City","3215 Kennedy Blvd",USA
working,NY,Brooklyn,"428 Knickerbocker Ave",USA
working,NY,Brooklyn,"180 Parkside Ave",USA
working,NY,"Long Island City","33-80 Queens Blvd",USA
working,NY,"New York","2049 Broadway",USA
working,NY,Brooklyn,"1380 Broadway",USA
working,NY,Brooklyn,"3525 Fort Hamilton Pky",USA
working,NY,Brooklyn,"1133 Eastern Parkway",USA
working,NY,Brooklyn,"1883 Atlantic Avenue",USA
working,NJ,Bayonne,"157 W 63rd St",USA
working,NY,"New York","1499 3rd Ave",USA
broken,NY,Maspeth,"59-60 55th Road",USA
broken,NY,"Long Island City","3255 31st St",USA
working,NY,"Long Island City","3146 21st St",USA
working,NY,Brooklyn,"701 Utica Ave",USA
working,NY,Brooklyn,"7124 3rd Ave",USA
working,NY,Astoria,"31-67 Steinway St",USA
working,NY,Brooklyn,"880 Coney Island Avenue",USA
working,NY,Brooklyn,"1642 Pitkin Ave",USA
broken,NY,Woodside,"51-35 Northern Blvd",USA
working,NY,"New York","1871 2nd Ave",USA
working,NJ,Secaucus,"400 Park Place",USA
broken,NY,"New York","2549 Broadway",USA
working,NY,Brooklyn,"5707-13 Church Ave",USA
working,NY,Brooklyn,"15 Jamaica Ave",USA
working,NY,"New York","1872 3rd Ave",USA
working,NY,Brooklyn,"2154 Nostrand Ave",USA
broken,NY,"New York","2726 Broadway",USA
broken,NY,Brooklyn,"430 86th St",USA
working,NY,"New York","5804 Claredon Rd",USA
working,NJ,"North Bergen","8101 Tonnelle Ave",USA
working,NY,Astoria,"22 50 31st St",USA
working,NY,Brooklyn,"2800 Atlantic Ave",USA
working,NY,Glendale,"70-02 Cooper Ave",USA
working,NY,Elmhurst,"80-03 Queens Blvd",USA
working,NJ,Bayonne,"537 Broadway",USA
working,NY,"Staten Island","501 Bay St",USA
working,NY,"Jackson Heights","37-59 82nd St",USA
working,NY,"New York","2142 3rd Ave",USA
working,NY,Brooklyn,"1656 Utica Ave",USA
working,NY,Brooklyn,"6620 Bay Pky",USA
working,NY,Brooklyn,"3143 Atlantic Ave",USA
broken,NJ,Edgewater,"River Road",USA
working,NY,Brooklyn,"819 Pennsylvania Ave",USA
working,NY,Brooklyn,"7602 Flatlands Ave",USA
working,NY,Brooklyn,"1467 Rockaway Pky",USA
working,NY,"New York","148 W 125th Street",USA
inactive,NY,"New York","354 W 125th St",USA
working,NJ,Fairview,"289 Bergen Blvd",USA
